cohorte,dimension,nivel,en_riesgo
1996,plazo,03 10-20a,5772
1996,plazo,04 > 20a,4052
1996,plazo,unknown,42
1997,plazo,01 <= 7a,20684
1997,plazo,02 7-10a,7073
1997,plazo,03 10-20a,5869
1997,plazo,04 > 20a,5165
1997,plazo,unknown,32
1998,plazo,01 <= 7a,19145
1998,plazo,02 7-10a,6489
1998,plazo,03 10-20a,5489
1998,plazo,04 > 20a,4862
1998,plazo,unknown,33
1999,plazo,01 <= 7a,18878
1999,plazo,02 7-10a,6876
1999,plazo,03 10-20a,5843
1999,plazo,04 > 20a,5459
1999,plazo,unknown,40
2000,plazo,01 <= 7a,19838
2000,plazo,02 7-10a,6970
2000,plazo,03 10-20a,5419
2000,plazo,04 > 20a,5335
2000,plazo,unknown,38
2001,plazo,01 <= 7a,21260
2001,plazo,02 7-10a,6852
2001,plazo,03 10-20a,4804
2001,plazo,04 > 20a,4370
2001,plazo,unknown,37
2002,plazo,01 <= 7a,26343
2002,plazo,02 7-10a,7616
2002,plazo,03 10-20a,5700
2002,plazo,04 > 20a,5455
2002,plazo,unknown,70
2003,plazo,01 <= 7a,40863
2003,plazo,02 7-10a,7852
2003,plazo,03 10-20a,5515
2003,plazo,04 > 20a,4790
2003,plazo,unknown,99
2004,plazo,01 <= 7a,51293
2004,plazo,02 7-10a,8665
2004,plazo,03 10-20a,6083
2004,plazo,04 > 20a,5137
2004,plazo,unknown,105
2005,plazo,01 <= 7a,63401
2005,plazo,02 7-10a,9994
2005,plazo,03 10-20a,6171
2005,plazo,04 > 20a,4749
2005,plazo,unknown,121
2006,plazo,01 <= 7a,67191
2006,plazo,02 7-10a,10031
2006,plazo,03 10-20a,5494
2006,plazo,04 > 20a,3678
2006,plazo,unknown,176
2007,plazo,01 <= 7a,67794
2007,plazo,02 7-10a,12197
2007,plazo,03 10-20a,5149
2007,plazo,04 > 20a,2995
2007,plazo,unknown,135
2008,plazo,01 <= 7a,42922
2008,plazo,02 7-10a,10765
2008,plazo,03 10-20a,4622
2008,plazo,04 > 20a,3229
2008,plazo,unknown,98
2009,plazo,01 <= 7a,22355
2009,plazo,02 7-10a,7953
2009,plazo,03 10-20a,3317
2009,plazo,04 > 20a,2970
2009,plazo,unknown,41
2010,plazo,01 <= 7a,23020
2010,plazo,02 7-10a,9304
2010,plazo,03 10-20a,3732
2010,plazo,04 > 20a,3837
2010,plazo,unknown,20
2011,plazo,01 <= 7a,26437
2011,plazo,02 7-10a,9092
2011,plazo,03 10-20a,4705
2011,plazo,04 > 20a,5356
2011,plazo,unknown,38
2012,plazo,01 <= 7a,22785
2012,plazo,02 7-10a,7744
2012,plazo,03 10-20a,3509
2012,plazo,04 > 20a,4822
2012,plazo,unknown,29
2013,plazo,01 <= 7a,22257
2013,plazo,02 7-10a,8410
2013,plazo,03 10-20a,3915
2013,plazo,04 > 20a,5818
2013,plazo,unknown,16
2014,plazo,01 <= 7a,26522
2014,plazo,02 7-10a,9194
2014,plazo,03 10-20a,3917
2014,plazo,04 > 20a,6310
2014,plazo,unknown,19
2015,plazo,01 <= 7a,31769
2015,plazo,02 7-10a,11377
2015,plazo,03 10-20a,4584
2015,plazo,04 > 20a,7657
2015,plazo,unknown,34
2016,plazo,01 <= 7a,31352
2016,plazo,02 7-10a,12493
2016,plazo,03 10-20a,4935
2016,plazo,04 > 20a,7980
2016,plazo,unknown,29
2017,plazo,01 <= 7a,28572
2017,plazo,02 7-10a,14432
2017,plazo,03 10-20a,4858
2017,plazo,04 > 20a,8195
2017,plazo,unknown,22
2018,plazo,01 <= 7a,19171
2018,plazo,02 7-10a,23196
2018,plazo,03 10-20a,4413
2018,plazo,04 > 20a,7391
2018,plazo,unknown,24
2019,plazo,01 <= 7a,11891
2019,plazo,02 7-10a,23876
2019,plazo,03 10-20a,3748
2019,plazo,04 > 20a,6149
2019,plazo,unknown,7
2020,plazo,01 <= 7a,9725
2020,plazo,02 7-10a,17820
2020,plazo,03 10-20a,2971
2020,plazo,04 > 20a,5940
2020,plazo,unknown,8
2021,plazo,01 <= 7a,8375
2021,plazo,02 7-10a,21267
2021,plazo,03 10-20a,4339
2021,plazo,04 > 20a,11182
2021,plazo,unknown,2
2022,plazo,01 <= 7a,7696
2022,plazo,02 7-10a,23534
2022,plazo,03 10-20a,3470
2022,plazo,04 > 20a,7062
2022,plazo,unknown,2
2023,plazo,01 <= 7a,7054
2023,plazo,02 7-10a,33314
2023,plazo,03 10-20a,3761
2023,plazo,04 > 20a,6068
2024,plazo,01 <= 7a,7390
2024,plazo,02 7-10a,43375
2024,plazo,03 10-20a,3234
2024,plazo,04 > 20a,6033
2025,plazo,01 <= 7a,6852
2025,plazo,02 7-10a,43211
2025,plazo,03 10-20a,3615
2025,plazo,04 > 20a,6612
2001,sector,11,432
2001,sector,21,73
2001,sector,22,29
